,tag,name,attribute description,type,vm,vr
17,"(0024, 0016)",ScreeningTestModeCodeSequence,"Mode used to determine how the starting luminance values and expected thresholds are chosen.
Required if Content Item Modifier Sequence (0040, 0441) within Performed Protocol Code Sequence (0040, 0260) contains an item with the value (R-42453, SRT, ÒScreeningÓ). May be present otherwise.
Only a single Item shall be permitted in this sequence.",1C,1.0,SQ
18,"(0024, 0018)",MaximumStimulusLuminance,"Maximum luminance of stimulus, in candelas per square meter (cd/m_).",1,1.0,FL
19,"(0024, 0020)",BackgroundLuminance,"Background luminance of the device, in candelas per square meter (cd/m_). 
Note: This value is easily convertible to apostilb, which is used only in perimetry and is not a standardized unit.",1,1.0,FL
20,"(0024, 0021)",StimulusColorCodeSequence,"Color of light stimulus presented to the patient.
Only a single Item shall be permitted in this sequence.",1,1.0,SQ
21,"(0024, 0024)",BackgroundIlluminationColorCodeSequence,"Color of the background illumination of the visual field device.
Only a single Item shall be permitted in this sequence.",1,1.0,SQ
22,"(0024, 0025)",StimulusArea,"Area of light stimulus presented to the patient, in degrees squared.",1,1.0,FL
23,"(0024, 0028)",StimulusPresentationTime,"The duration of time that a light stimulus is presented to a patient per each individual test point, in milliseconds.
Note: This time is the same for each stimulus presentation.",1,1.0,FL
24,"(0024, 0032)",FixationSequence,"The patientÕs gaze stability information during the visual field test.
Only a single Item shall be permitted in this sequence.",1,1.0,SQ
25,"(0024, 0033)",FixationMonitoringCodeSequence,"The device strategy used to monitor the patient's fixation.
One or more Items shall be included in this sequence.",1,1.0,SQ
26,"(0024, 0035)",FixationCheckedQuantity,"The number of times that the patientÕs gaze fixation is checked.
Required if Fixation Monitoring Code Sequence (0024, 0033) contains an item with the value (111844, DCM, ÒBlind Spot MonitoringÓ) or (111845, DCM, ÒMacular Fixation TestingÓ). May be present otherwise.",1C,1.0,US
27,"(0024, 0036)",PatientNotProperlyFixatedQuantity,"The number of times the patientÕs gaze is not properly fixated.
Required if Fixation Monitoring Code Sequence (0024, 0033) contains an item with the value (111844, DCM, ÒBlind Spot MonitoringÓ) or (111845, DCM, ÒMacular Fixation TestingÓ). May be present otherwise.",1C,1.0,US
28,"(0024, 0039)",ExcessiveFixationLossesDataFlag,"Whether the device was able to determine excessive fixation losses.
Enumerated Values:
YES
NO",1,1.0,CS
29,"(0024, 0040)",ExcessiveFixationLosses,"The number of fixation losses is outside of implementation-specific limits.
Enumerated Values:
YES
NO
Required if Excessive Fixation Losses Data Flag (0024, 0039) is YES.",1C,1.0,CS
30,"(0024, 0034)",VisualFieldCatchTrialSequence,"The reliability of the patientÕs responses to the visual field test.
Only a single Item shall be permitted in this sequence.",1,1.0,SQ
31,"(0024, 0055)",CatchTrialsDataFlag,"Whether catch trials data were performed.
Enumerated Values:
YES
NO",1,1.0,CS
32,"(0024, 0048)",NegativeCatchTrialsQuantity,"Total number of times the patientÕs visual attention was tested using stimuli brighter than previously seen luminance (negative catch trials).
Required if Catch Trials Data Flag (0024, 0055) is YES.",1C,1.0,US
33,"(0024, 0050)",FalseNegativesQuantity,"Total number of stimuli that were not seen by the patient but were previously seen at a lower luminance earlier in the visual field test (false negatives).
Required if Catch Trials Data Flag (0024, 0055) is YES.",1C,1.0,US
34,"(0024, 0045)",FalseNegativesEstimateFlag,"Whether the device was able to estimates false negatives.
Enumerated Values:
YES
NO",1,1.0,CS
35,"(0024, 0046)",FalseNegativesEstimate,"Estimated percentage of all stimuli that were not seen by the patient but were previously seen at a lower luminance earlier in the visual field test (false negative responses), as percent.
Required if False Negatives Estimate Flag (0024, 0045) is YES.",1C,1.0,FL
36,"(0024, 0051)",ExcessiveFalseNegativesDataFlag,"Whether the device was able to determine excessive false negatives.
Enumerated Values:
YES
NO",1,1.0,CS
37,"(0024, 0052)",ExcessiveFalseNegatives,"The false negative estimate is outside of implementation-specific limits.
Enumerated Values:
YES
NO
Required if Excessive False Negatives Data Flag (0024, 0051) is YES.",1C,1.0,CS
38,"(0024, 0056)",PositiveCatchTrialsQuantity,"The total number of times the device behaved as if it was going to present a visual stimulus but did not actually present the stimulus (positive catch trials).
Required if Catch Trials Data Flag (0024, 0055) is YES.",1C,1.0,US
39,"(0024, 0060)",FalsePositivesQuantity,"The total number of patient responses that occurred at a time when no visual stimulus was present (false positive responses).
Required if Catch Trials Data Flag (0024, 0055) is YES.",1C,1.0,US
40,"(0024, 0053)",FalsePositivesEstimateFlag,"Whether the device was able to estimate false positives.
Enumerated Values:
YES
NO",1,1.0,CS
41,"(0024, 0054)",FalsePositivesEstimate,"Estimated percentage of all patient responses that occurred at a time when no visual stimulus was present (false positive responses), as percent.
Required if False Positives Estimate Flag (0024, 0053) is YES.",1C,1.0,FL
42,"(0024, 0061)",ExcessiveFalsePositivesDataFlag,"Whether the device was able to determine excessive false positives.
Enumerated Values:
YES
NO",1,1.0,CS
43,"(0024, 0062)",ExcessiveFalsePositives,"The false positive estimate is outside of implementation-specific limit.
Enumerated Values:
YES
NO
Required if Excessive False Positives Data Flag (0024, 0061) is YES.",1C,1.0,CS
44,"(0024, 0042)",StimuliRetestingQuantity,"Total number of times in the course of a visual field exam that any location had to be retested at the same magnitude.
Note: An example is that the patient received 20 stimuli and blinked twice, therefore need to present the stimuli two additional times in which case the value is 2.",3,1.0,US
45,"(0024, 0069)",PatientReliabilityIndicator,Vendor implementation specific text to provide an analysis and/or summary of patient reliability indicator/indices.,3,1.0,LO
46,"(0024, 0044)",CommentsOnPatientPerformanceOfVisualField,Operator's (test administrator) subjective comment on patient's performance.,3,1.0,LT
47,"(0024, 0317)",VisualFieldTestReliabilityGlobalIndexSequence,"Information about various visual field indices related to test reliability.
One or more items may be present.",3,1.0,SQ
48,"(0024, 0325)",DataObservationSequence,"Information about various visual field global indexes.
Only a single Item shall be permitted in this sequence.",1,1.0,SQ
49,"(0024, 0338)",IndexNormalsFlag,"Whether normative data exists for this index.
Enumerated Values:
YES
NO",1,1.0,CS
50,"(0024, 0344)",IndexProbabilitySequence,"Probability value and software algorithm used to provide the index.
Required if Index Normals Flag (0024, 0338) is YES.
Only a single Item shall be permitted in this sequence.",1C,1.0,SQ
51,"(0024, 0341)",IndexProbability,"Probability for the index value within the normal population, in percent.",1,1.0,FL
52,"(0024, 0113)",MeasurementLaterality,"Laterality of body part (eye) examined. See section C.8.X.4.1.1 for further explanation. Enumerated Values: R = right L = left B = both left and right together Note: This Attribute is mandatory, in order to ensure that measurements may be positioned correctly relative to one another for display. Note: Laterality (0020, 0060) is a Series level Attribute and must be the same for all Measurements in the Series, hence it must be absent if multiple instances from different eyes are encoded.",1,1.0,CS
53,"(0024, 0037)",PresentedVisualStimuliDataFlag,"Whether the device was able to determine presented visual stimuli.
Enumerated Values:
YES
NO",1,1.0,CS
54,"(0024, 0038)",NumberOfVisualStimuli,"The total number of visual stimuli presented to the patient. This includes the number of stimuli repetitions.
Required if Presented Visual Stimuli Data Flag (0024, 0037) is YES.",1C,1.0,US
55,"(0024, 0088)",VisualFieldTestDuration,"Total time the visual field machine was actively presenting visual stimuli to patient, in seconds.",1,1.0,FL
56,"(0024, 0086)",FovealSensitivityMeasured,"Whether foveal sensitivity was measured.
Enumerated Values:
YES
NO",1,1.0,CS
57,"(0024, 0087)",FovealSensitivity,"Foveal Sensitivity is the reciprocal of foveal threshold (1/foveal threshold), in dB.
Foveal Threshold is the minimum amount of luminance increment on a uniform background that can be detected by the patient at coordinates 0, 0 (relative to the center of the patientÕs fixation).
See section C.8.X.4.1.2 for further explanation.
Required if the value for Foveal Sensitivity Measured (0024, 0086) is YES.",1C,1.0,FL
58,"(0024, 0117)",FovealPointNormativeDataFlag,"Existence of normative data base for the foveal point sensitivity.
Enumerated Values:
YES
NO",1,1.0,CS
59,"(0024, 0118)",FovealPointProbabilityValue,"The percentile of the foveal point sensitivity within an age corrected normal visual field, in percent.
Required if the value for Foveal Sensitivity Measured (0024, 0086) is YES and Foveal Point Normative Data Flag (0024, 0117) is YES.",1C,1.0,FL
60,"(0024, 0120)",ScreeningBaselineMeasured,"Whether visual field screening baseline was measured.
Enumerated Values:
YES
NO",1,1.0,CS
61,"(0024, 0122)",ScreeningBaselineMeasuredSequence,"Information about the starting luminance screening values.
Required if the value for Screening Baseline Measured (0024, 0120) is YES.
One or more items may be present.",1C,1.0,SQ
62,"(0024, 0124)",ScreeningBaselineType,"Method used to determine starting luminance screening values.
Enumerated Values:
CENTRAL
PERIPHERAL",1,1.0,CS
63,"(0024, 0126)",ScreeningBaselineValue,"Visual Field screening baseline value, in dB.",1,1.0,FL
64,"(0024, 0106)",BlindSpotLocalized,"Whether the blind spot was measured.
Enumerated Values:
YES
NO",1,1.0,CS
65,"(0024, 0107)",BlindSpotXCoordinate,"The horizontal coordinate of the patientÕs blind spot relative to the center of the patientÕs fixation, in degrees, such that toward the right is positive.
Required if the value for Blind Spot Localized (0024, 0106) is YES.
See section C.8.X.4.1.3 for further explanation.",1C,1.0,FL
66,"(0024, 0108)",BlindSpotYCoordinate,"The vertical coordinate of the patientÕs blind spot relative to the center of the patient fixation, in degrees, such that up is positive.
Required if the value for Blind Spot Localized (0024, 0106) is YES.
See section C.8.X.4.1.3 for further explanation.",1C,1.0,FL
67,"(0024, 0105)",MinimumSensitivityValue,"The minimum sensitivity value generated by the equipment used for this visual field test, in dB.",1,1.0,FL
68,"(0024, 0057)",TestPointNormalsDataFlag,"Existence of normative data base for this set of test points.
Enumerated Values:
YES
NO",1,1.0,CS
69,"(0024, 0058)",TestPointNormalsSequence,"Normative data base used for this test sequence.
Required if Test Point Normals Data Flag (0024, 0057) is YES.
Only a single Item shall be permitted in this sequence.",1C,1.0,SQ
70,"(0024, 0065)",AgeCorrectedSensitivityDeviationAlgorithmSequence,"Software algorithm used to provide the probability that the age corrected sensitivity deviation values at each test point belong to a normal visual field.
Required if Test Point Normals Data Flag (0024, 0057) is YES.
Only a single Item shall be permitted in this sequence.",1C,1.0,SQ
71,"(0024, 0067)",GeneralizedDefectSensitivityDeviationAlgorithmSequence,"Software algorithm used to provide the probability that the sensitivity deviation values at each test point belong to a normal visual field.
Required if Test Point Normals Data Flag (0024, 0057) is YES.
Only a single Item shall be permitted in this sequence.",1C,1.0,SQ
72,"(0024, 0089)",VisualFieldTestPointSequence,"Information for each test point in the visual field.
One or more items shall be present.",1,1.0,SQ
73,"(0024, 0090)",VisualFieldTestPointXCoordinate,"The horizontal coordinate of a single test point relative to the center of the patient fixation, in degrees, such that toward the right is positive.",1,1.0,FL
74,"(0024, 0091)",VisualFieldTestPointYCoordinate,"The vertical coordinate of a single test point relative to the center of the patient fixation, in degrees, such that up is positive.",1,1.0,FL
75,"(0024, 0093)",StimulusResults,"Whether the patient saw a stimulus presented at a luminance other than maximum, a presentation at maximum luminance, or did not see any presented stimulus.
Enumerated Values:
SEEN = stimulus seen at a luminance value less than maximum
NOT SEEN = stimulus not seen
SEEN AT MAX = stimulus seen at the maximum luminance possible for the instrument 
Note: SEEN AT MAX is a value only relevant to Screening tests.",1,1.0,CS
76,"(0024, 0094)",SensitivityValue,"If Stimulus Results (0024, 0093) is SEEN then this value is the sensitivity, in dB.
Required if Content Item Modifier Sequence (0040, 0441) within Performed Protocol Code Sequence (0040, 0260) contains an item with the value (R-408C3, SRT, ÒDiagnosticÓ). May be present otherwise.
Note: If this is not present, refer to the attribute Minimum Sensitivity Value (0024, 0105).",1C,1.0,FL
77,"(0024, 0095)",RetestStimulusSeen,"Whether the retested stimulus presented was seen by the patient.
Enumerated Values:
YES
NO",3,1.0,CS
78,"(0024, 0096)",RetestSensitivityValue,"If the Retest Stimulus Seen (0024, 0095) is YES, then this value is the sensitivity, in dB.
Note: If this is not present, refer to the attribute Minimum Sensitivity Value (0024, 0105).",3,1.0,FL
79,"(0024, 0098)",QuantifiedDefect,"Difference between the expected and the determined sensitivity, each in dB.
Note: This field is only useful when the sensitivity is quantified. Some examples include Test Strategy Code Sequence (0024, 0015) with items providing values such as Quantity-Defects, 2LT-Dynamic, 2LT-Normal.",3,1.0,FL
80,"(0024, 0097)",VisualFieldTestPointNormalsSequence,"Information about normal values for each visual field test point.
Required if Test Point Normals Data Flag (0024, 0057) is YES.
One or more items shall be present.",1C,1.0,SQ
81,"(0024, 0092)",AgeCorrectedSensitivityDeviationValue,"Difference between the patientÕs local sensitivity and the age corrected normal sensitivity, in dB.",1,1.0,FL
82,"(0024, 0100)",AgeCorrectedSensitivityDeviationProbabilityValue,"The percentile of the age corrected sensitivity deviation within the normal population of visual field, in percent.",1,1.0,FL
83,"(0024, 0102)",GeneralizedDefectCorrectedSensitivityDeviationFlag,"Whether generalized defect corrected data are available for this point.
Enumerated Values:
YES
NO",1,1.0,CS
84,"(0024, 0103)",GeneralizedDefectCorrectedSensitivityDeviationValue,"The age corrected sensitivity deviation after correction for the Generalized Defect, in dB. Generalized defect is proportional to the loss in sensitivity shared by all points in the visual field.
Required if Generalized Defect Corrected Sensitivity Deviation Flag (0024, 0102) is YES.",1C,1.0,FL
85,"(0024, 0104)",GeneralizedDefectCorrectedSensitivityDeviationProbabilityValue,"The percentile of the generalized defect corrected sensitivity deviation within the normal population of visual field, in percent. 
Required if Generalized Defect Corrected Sensitivity Deviation Flag (0024, 0102) is YES.",1C,1.0,FL
86,"(0024, 0070)",VisualFieldMeanSensitivity,"Average sensitivity of the test points of the visual field, in dB.
Required if Content Item Modifier Sequence (0040, 0441) within the Performed Protocol Code Sequence (0040, 0260) contains an item with the value (R-408C3, SRT, ÒDiagnosticÓ). May be present otherwise.",1C,1.0,FL
87,"(0024, 0063)",VisualFieldTestNormalsFlag,"Whether normals exist for this patientÕs results.
Enumerated Values:
YES
NO",1,1.0,CS
88,"(0024, 0064)",ResultsNormalsSequence,"Information that represents the statistically normal results for patients from a referenced data base.
Required if Visual Field Test Normals Flag (0024, 0063) is YES.
Only a single Item shall be permitted in this sequence.",1C,1.0,SQ
89,"(0024, 0066)",GlobalDeviationFromNormal,"Weighted average deviation from the age corrected normal field, in dB.",1,1.0,FL
90,"(0024, 0059)",GlobalDeviationProbabilityNormalsFlag,"Whether normals exist for the global deviation probability.
Enumerated Values:
YES
NO",1,1.0,CS
91,"(0024, 0083)",GlobalDeviationProbabilitySequence,"Probability value and software algorithm used to provide the normality for the global deviation.
Only a single Item shall be permitted in this sequence.
Required if Global Deviation Probability Normals Flag (0024, 0059) is YES.",1C,1.0,SQ
92,"(0024, 0071)",GlobalDeviationProbability,"The percentile of the Global Deviation from Normal (0024, 0066) value within the normal population, in percent.0024",1,1.0,FL
93,"(0024, 0068)",LocalizedDeviationFromNormal,"Weighted square root of loss variance, in dB.",1,1.0,FL
94,"(0024, 0072)",LocalDeviationProbabilityNormalsFlag,"Whether normals exist for the local deviation probability.
Enumerated Values:
YES
NO",1,1.0,CS
95,"(0024, 0085)",LocalizedDeviationProbabilitySequence,"Probability value and software algorithm used to provide the normality for the local deviation.
Only a single Item shall be permitted in this sequence.
Required if Local Deviation Probability Normals Flag (0024, 0072) is YES..",1C,1.0,SQ
96,"(0024, 0073)",LocalizedDeviationProbability,"The0024 percentile of the Localized Deviation from Normal (0024, 0068) value within the normal population, in percent.0024",1,1.0,FL
97,"(0024, 0074)",ShortTermFluctuationCalculated,"Whether the short term fluctuation was calculated.
Enumerated Values:
YES
NO",1,1.0,CS
98,"(0024, 0075)",ShortTermFluctuation,"Average deviation of sensitivity for the repeated test locations, in dB. This is used to determine the consistency of the patientÕs responses.
Required if Short Term Fluctuation Calculated (0024, 0074) is YES.",1C,1.0,FL
99,"(0024, 0076)",ShortTermFluctuationProbabilityCalculated,"Whether the short term fluctuation probability was calculated.
Enumerated Values:
YES
NO",1,1.0,CS
100,"(0024, 0077)",ShortTermFluctuationProbability,"The percentile of the Short Term Fluctuation (0024, 0075) value within the normal population, in percent.
Required if Short Term Fluctuation Probability Calculated (0024, 0076) is YES.",1C,1.0,FL
101,"(0024, 0078)",CorrectedLocalizedDeviationFromNormalCalculated,"Whether the corrected localized deviation from normal was calculated.
Enumerated Values:
YES
NO",1,1.0,CS
102,"(0024, 0079)",CorrectedLocalizedDeviationFromNormal,"Weighted square root of loss variance corrected for short term fluctuation, in dB. 
Required if Corrected Localized Deviation From Normal Calculated (0024, 0078) is YES.",1C,1.0,FL
103,"(0024, 0080)",CorrectedLocalizedDeviationFromNormalProbabilityCalculated,"Whether the corrected localized deviation from Normal probability was calculated.
Enumerated Values:
YES
NO",1,1.0,CS
104,"(0024, 0081)",CorrectedLocalizedDeviationFromNormalProbability,"The percentile of the Corrected Localized Deviation From Normal (0024, 0079) value within the normal population, in percent.
Required if Corrected Localized Deviation From Normal Probability Calculated (0024, 0080) is YES.",1C,1.0,FL
105,"(0024, 0320)",VisualFieldGlobalResultsIndexSequence,"Information about various visual field indexes related to test results.
One or more items may be present.",3,1.0,SQ
106,"(0024, 0114)",OphthalmicPatientClinicalInformationLeftEyeSequence,"Information used to represent a patientÕs clinical parameters during an ophthalmic test. 
Only a single Item shall be permitted in this sequence.
Required if Measurement Laterality (0024, 0113) is L or B.",1C,1.0,SQ
107,"(0024, 0115)",OphthalmicPatientClinicalInformationRightEyeSequence,"Information used to represent a patientÕs clinical parameters during an ophthalmic test. 
Only a single Item shall be permitted in this sequence.
Required if Measurement Laterality (0024, 0113) is R or B.",1C,1.0,SQ
108,"(0024, 0112)",RefractiveParametersUsedOnPatientSequence,Refractive parameters used when performing visual field test. Zero or one Item shall be permitted.,2,1.0,SQ
109,"(0022, 0007)",SphericalLensPower,Sphere value in diopters.,1,1.0,FL
110,"(0022, 0008)",CylinderLensPower,Cylinder value in diopters.,1,1.0,FL
111,"(0022, 0009)",CylinderAxis,Axis value in degrees.,1,1.0,FL
112,"(0046, 0044)",PupilSize,"The horizontal diameter measurement of the pupil, in mm.",2,1.0,FD
113,"(0022, 000D)",PupilDilated,"The patientÕs pupils were pharmacologically dilated for this acquisition.
Enumerated Values:
YES
NO
If this tag is empty, no information is available.",2,1.0,CS
114,"(0022, 000B)",IntraOcularPressure,Value of intraocular pressure in mmHg.,3,1.0,FL
115,"(0024, 0110)",VisualAcuityMeasurementSequence,Measurements of a patientÕs visual acuity.,3,1.0,SQ
116,"(0020, 000d)",,Study Instance Unique Identifier,1,,
117,"(0020, 000e)",,Series Instance Unique Identifier,1,,
118,"(0008, 1090)",ManufacturerModelName,Manufacturer's Model Name,1,1.0,LO
119,"(0008, 0070)",Manufacturer,Manufacturer,1,1.0,LO
120,"(0008, 0104)",CodeMeaning,Test Strategy,1,1.0,LO
